City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Requena,ES,75.79,broken clouds,39.4883,-1.1004,Hotel Avenida
495,Natal,BR,82.62,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
496,Matagalpa,NI,79.61,drizzle,12.9256,-85.9175,Hostal El Rey
498,Mawlamyine,MM,79.72,light rain,16.4914,97.6256,Sandalwood Hotel
499,Nieuw Amsterdam,SR,82.42,scattered clouds,5.8833,-55.0833,Hotel Stardust
501,Petlawad,IN,76.84,broken clouds,23.0,74.8,KBISTHN MUSLIM SAMAJ
502,Ravar,IR,88.12,overcast clouds,31.2656,56.8055,computertik
503,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
504,Gourbeyre,GP,81.16,few clouds,15.9938,-61.6914,Hôtel Saint-Georges
505,Jiangyou,CN,75.6,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
506,Alcantara,BR,88.0,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
